All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    ERX284455_ERR311174  ERX284456_ERR311175  ERX284457_ERR311176  ERX284460_ERR311179  ERX284465_ERR311184  ERX284466_ERR311185  ERX284467_ERR311186  ERX284468_ERR311187  ERX284469_ERR311188  ERX284470_ERR311189  ERX284471_ERR311190  ERX284472_ERR311191  ERX284473_ERR311192  ERX284474_ERR311193  ERX284475_ERR311194  ERX284476_ERR311195  ERX284477_ERR311196  ERX284478_ERR311197  ERX284479_ERR311198  ERX284480_ERR311199  ERX284481_ERR311200  ERX284495_ERR311214  ERX284496_ERR311215  ERX284497_ERR311216-error  ERX284498_ERR311217  ERX388946_ERR422653  ERX388947_ERR422654  ERX388948_ERR422655  ERX388949_ERR422656  ERX388950_ERR422657  ERX388951_ERR422658  ERX388952_ERR422659  SAMN12610744  SAMN12611509  SAMN12611599  SRX1144605_SRR2168393  SRX1154245_SRR2158266  SRX1592101_SRR3177738  SRX1592162_SRR3177739  SRX1592163_SRR3177740  SRX1592164_SRR3177741  SRX1592165_SRR3177742  SRX1592166_SRR3177743  SRX1592171_SRR3177744  SRX1592177_SRR3177745  SRX1592186_SRR3177746  SRX1592196_SRR3177747  SRX1592207_SRR3177748  SRX1592214_SRR3177750  SRX1592224_SRR3177751  SRX1592230_SRR3177752  SRX1592245_SRR3177753  SRX1592255_SRR3177754  SRX1592263_SRR3177755  SRX1592271_SRR3177757  SRX1592280_SRR3177759  SRX1592286_SRR3177760  SRX1592295_SRR3177763  SRX1592307_SRR3177765  SRX1592314_SRR3177768  SRX1592320_SRR3177775  SRX1592323_SRR3177790  SRX1592325_SRR3177803  SRX1592328_SRR3177805  SRX1592329_SRR3177816  SRX1592330_SRR3177826  SRX1592331_SRR3177835  SRX1592333_SRR3177841  SRX1592335_SRR3177858  SRX1592336_SRR3177862  SRX1592338_SRR3177873  SRX1592340_SRR3177890  SRX1592341_SRR3177900  SRX1592343_SRR3177903  SRX1592344_SRR3177917  SRX1592345_SRR3177919  SRX1592346_SRR3177926  SRX1592347_SRR3177927  SRX1592348_SRR3177928  SRX1592349_SRR3177929  SRX1592350_SRR3177930  SRX1592351_SRR3177931  SRX1592352_SRR3177932  SRX1592353_SRR3177933  SRX1592354_SRR3177934  SRX1592355_SRR3177935  SRX1592356_SRR3177936  SRX1592357_SRR3177937  SRX1592358_SRR3177946  SRX1592368_SRR3177947  SRX1592377_SRR3177948  SRX1592380_SRR3177949  SRX1592388_SRR3177950  SRX1592392_SRR3177951  SRX1592403_SRR3177952  SRX1592413_SRR3177955  SRX1592414_SRR3177962  SRX1592415_SRR3177974  SRX1592418_SRR3177978  SRX1592419_SRR3177990  SRX1592420_SRR3178001  SRX1592422_SRR3178007  SRX1592424_SRR3178008  SRX1592425_SRR3178009  SRX1592426_SRR3178010  SRX1592427_SRR3178011  SRX1592429_SRR3178012  SRX1592432_SRR3178013  SRX1592434_SRR3178014  SRX1592435_SRR3178015  SRX1592436_SRR3178016  SRX1592437_SRR3178017  SRX1592440_SRR3178018  SRX982617_SRR1957167  SRX982618_SRR1957168  SRX982619_SRR1957169  SRX982620_SRR1957170  SRX982621_SRR1957171  SRX982622_SRR1957172  SRX982623_SRR1957173  SRX982624_SRR1957174  SRX982625_SRR1957175  SRX982626_SRR1957176  SRX982627_SRR1957177  SRX982628_SRR1957178
Total length (>= 25000 bp)  21393241             23209898             10058509             3920543              13722109             11505194             15918889             6987115              4367287              7879415              2912362              9633793              790400               4541448              0                    2519500              2786871              67680                3395177              386333               1141303              238829               0                    0                          6021960              7569540              11958324             8165003              3033287              6868628              22823331             5898373              11590036      11652223      13356139      9220249                8993021                9225342                9147634                9204165                9052403                9182722                9133074                9337939                9053121                9118949                2244264                9255231                9052513                9228199                8197819                8777342                13507607               7237175                9017790                8764446                8795160                9469562                9166473                9010746                9006529                9041835                9206086                8935559                8130552                8716816                8554048                9092489                8708329                9054495                9502538                9283251                7728290                9222962                9252947                9275739                8818429                9221672                8450587                9261561                9285639                9294143                9066506                9214008                9129380                9278022                9077692                9007768                9264795                9174586                9055513                9211944                7912312                9139919                8034234                9339898                7504821                9378835                18028003               9003783                9265188                9294562                8963430                8934220                9051641                8969665                13218348               9207713                8912940                8968364                8773989                8992276                9048047                8933638               6992887               8999047               11239236              9161881               9199542               9246355               8937636               8991977               9490968               9449127               9193800             
Total length (>= 50000 bp)  13332720             14240774             5436182              1860463              6251616              8368772              12849006             3650404              3700883              6309878              1447078              8225449              339381               2322742              0                    2057816              1398762              0                    1946261              131208               447094               59444                0                    0                          5181180              6173491              10691031             4913016              1267954              5793141              19784657             4602013              11590036      11553570      12886068      6945683                6505384                7172703                7075586                6999129                6890954                7049715                6957627                7300973                6850870                7069846                443877                 7016038                6984292                7034752                5395098                6493878                10093242               4782748                6909702                6483316                6498113                7273809                7189639                6468092                7340145                6934351                6729558                6730530                5475802                5798200                6100876                6730341                5838818                6243303                6364104                7054903                4993401                6829435                6698089                7285989                5930978                7179701                5948268                6451404                6679195                6728310                6846296                6321099                6290625                7187993                6361139                5930425                7002146                6735336                6589772                6843129                6303189                6904736                5741589                7201478                3494072                7445596                12982933               7114871                7462552                7278507                6160211                5846874                6709186                6170727                8019579                6706415                5950004                6094087                6510431                6917810                6780309                6308835               4411704               6732033               8891147               6836560               6900119               7059141               6836751               6796198               7474888               7252859               6863068             
# contigs                   4740                 4528                 1811                 1004                 3576                 725                  735                  949                  208                  567                  1350                 299                  193                  2480                 428                  85                   212                  90                   300                  113                  204                  1558                 746                  19                         193                  303                  395                  689                  459                  417                  566                  301                  31            30            179           724                    801                    574                    575                    562                    584                    559                    565                    554                    601                    561                    6083                   757                    596                    633                    940                    642                    827                    2040                   1279                   626                    610                    783                    552                    604                    567                    570                    583                    596                    1395                   1024                   1298                   766                    892                    813                    2388                   559                    1031                   740                    739                    581                    1017                   552                    1221                   1117                   798                    791                    593                    737                    749                    536                    754                    778                    550                    723                    748                    579                    1154                   568                    1448                   739                    1042                   715                    1414                   643                    582                    2620                   744                    754                    588                    752                    1557                   746                    816                    797                    637                    601                    594                    813                   1235                  604                   714                   746                   726                   723                   603                   582                   705                   708                   724                 
Largest contig              1026496              317592               243776               99010                191095               534801               373409               188797               393371               435641               103732               919447               98344                140735               24421                560099               287172               42320                189668               69382                94463                59444                17418                2224                       241858               366243               617943               210506               142140               408548               769161               237988               2783171       3114173       1838653       277097                 258445                 266993                 256880                 228218                 221158                 255356                 222970                 218161                 278444                 256880                 96126                  313155                 271848                 272990                 232159                 255160                 361639                 235806                 257435                 214291                 189065                 342746                 255356                 256880                 223508                 255356                 257045                 255356                 163990                 320979                 293607                 313261                 216217                 156895                 316835                 255356                 159629                 183905                 313259                 336213                 318664                 234701                 318922                 264019                 313280                 313280                 218161                 321146                 205508                 234701                 232966                 165121                 257435                 315963                 315815                 256880                 336758                 223566                 235806                 313309                 156768                 313309                 259770                 172451                 255356                 256880                 200820                 195870                 256880                 204647                 256880                 313262                 260948                 313262                 214291                 190155                 255356                 259382                221946                187740                930730                315963                313261                313309                214291                214291                315963                313261                315766              
Total length                37650310             46872705             18880763             9459778              30361610             13493431             19298631             12852599             5233561              10503017             8608605              10908906             1644091              12652364             1592313              2866523              3894603              468237               5132100              957211               2404081              5759113              1652327              17005                      6788221              8898236              13552391             11974010             5621307              8987707              24763550             7345369              11695411      11869380      14461149      11134412               11076775               10539611               10511678               10526135               10505555               10525620               10501809               10524093               10565687               10534192               17028253               11178026               10498612               10608326               10663243               10597897               15736346               11831806               11952036               10474798               10498090               11424998               10521390               10500313               10478532               10511190               10530099               10495275               11323359               11389569               11329322               11121153               11206891               10972855               19796073               10518612               10608662               11094607               11122276               10550883               11315965               10530227               11275458               12763917               11193825               11175647               10494024               11094876               11115526               10530706               11106115               11042400               10513166               11120137               11119014               10507462               10692320               10515921               11563568               11117619               11076826               11112280               21563158               10554200               10596437               20121149               11074236               11039270               10503832               11053062               20954248               11072904               11041501               11036047               10485246               10485296               10505447               11126459              10741214              10502248              13161567              11121501              11125589              11106777              10511315              10460244              11128983              11132051              11057090            
N50                         31468                24646                27642                20226                21640                64602                84252                28306                124883               70780                14656                108507               24241                14811                6284                 123847               39092                9486                 37344                19291                23043                6374                 4085                 1074                       91148                86460                115345               41335                26994                92788                142550               59930                1917902       1941352       563148        63432                  60367                  69589                  65707                  65623                  65853                  68526                  65564                  68896                  68447                  69364                  8963                   63296                  66695                  70588                  50421                  62304                  66727                  40298                  61290                  62563                  62347                  64061                  69384                  61290                  65564                  65663                  65532                  68281                  48855                  52672                  54569                  62465                  52037                  55567                  21719                  66408                  48041                  58993                  60480                  74995                  52222                  75263                  52193                  51031                  60881                  62284                  66404                  58927                  59987                  71898                  53728                  51868                  68281                  63050                  60754                  65668                  61882                  65909                  49566                  63639                  36065                  66812                  58375                  69575                  73799                  17872                  54597                  52050                  65076                  53516                  35201                  62335                  56120                  56120                  63080                  64173                  65010                  55544                 42654                 64068                 87676                 62465                 63164                 62893                 65270                 66512                 68125                 70097                 59292               
N90                         3003                 4551                 4739                 4247                 3551                 16674                14557                7094                 13079                8802                 2843                 21932                3620                 1942                 1644                 19914                9848                 2271                 9281                 3236                 5476                 1647                 768                  543                        22740                16868                21040                9303                 5869                 11089                30387                12909                992336        1508554       40044         10910                  8626                   18625                  18545                  18625                  16915                  19260                  18625                  20897                  16518                  18625                  687                    7898                   17901                  18434                  5764                   13999                  16498                  2053                   3126                   14451                  15611                  6882                   18545                  15177                  18051                  17758                  19905                  17170                  2879                   5034                   3399                   8402                   5744                   8364                   3467                   20212                  4573                   9961                   8283                   19093                  4668                   19905                  3502                   4840                   8286                   8595                   14763                  9709                   8626                   20802                  8306                   7680                   20498                  8800                   9498                   20176                  4012                   19905                  3276                   11957                  5192                   12578                  11967                  15284                  19283                  3177                   9180                   9165                   16289                  8566                   6595                   8228                   7064                   7938                   13963                  15611                  16915                  7152                  3690                  16562                 15890                 8771                  9003                  9740                  15611                 16311                 11612                 13201                 11612               
auN                         73589.8              49760.6              43568.4              28125.6              32752.0              114582.9             119806.3             42703.1              148758.2             108436.4             24899.9              207787.8             30159.4              26080.6              8002.0               205626.1             67998.3              12894.8              47830.5              24434.4              29526.4              8921.6               4915.5               1157.1                     98645.1              97736.7              184498.4             53106.6              35482.4              128215.4             231867.4             70850.4              1853089.0     2187938.5     758216.8      83832.7                71788.6                89929.9                82370.0                79891.2                80975.3                88870.9                79321.9                81576.0                81334.7                85029.4                12890.7                84171.2                80676.6                81172.8                61454.6                78945.1                94309.3                51637.2                70735.9                68748.2                70887.5                87234.0                85396.2                71739.4                81043.2                82523.8                81019.3                86608.1                58069.4                68170.3                68839.8                81588.6                65073.7                63393.5                45156.4                87693.9                50309.7                68980.6                77988.4                91676.1                69533.8                89075.1                71152.4                64857.6                77590.1                75614.8                81064.1                73599.3                74201.1                91422.3                70406.4                60144.9                87730.7                80503.7                77329.7                83818.5                77835.7                82003.0                62445.9                87069.3                41233.9                85635.6                69590.3                73112.7                90008.2                48107.9                66888.6                61496.6                78533.6                62218.2                53071.5                84529.4                66347.7                69035.1                72523.8                73016.5                80837.8                69383.3               50221.4               72627.9               168309.8              79232.9               84276.5               81692.4               76692.7               80913.2               91309.0               92347.8               77392.0             
L50                         285                  418                  176                  124                  364                  53                   57                   123                  12                   37                   140                  25                   20                   191                  72                   6                    26                   14                   41                   15                   31                   250                  121                  6                          25                   34                   30                   82                   60                   25                   41                   38                   3             3             7             49                     56                     46                     49                     50                     48                     45                     50                     48                     50                     47                     497                    53                     50                     49                     63                     51                     64                     83                     60                     56                     55                     51                     46                     56                     49                     49                     50                     45                     68                     64                     60                     52                     63                     63                     177                    46                     75                     60                     55                     44                     67                     44                     61                     72                     56                     56                     48                     58                     55                     43                     59                     69                     45                     51                     54                     48                     50                     49                     67                     48                     98                     48                     117                    53                     45                     175                    63                     67                     50                     67                     152                    51                     62                     61                     54                     53                     50                     59                    77                    53                    37                    54                    50                    52                    51                    48                    46                    45                    53                  
L90                         1784                 2145                 798                  498                  1718                 199                  268                  470                  65                   204                  654                  109                  94                   1204                 266                  28                   97                   54                   148                  59                   104                  937                  472                  16                         76                   120                  124                  316                  226                  147                  196                  131                  6             5             38            178                    207                    146                    151                    152                    154                    147                    153                    143                    159                    149                    3146                   188                    155                    152                    259                    174                    227                    692                    377                    177                    173                    199                    148                    169                    151                    155                    156                    155                    432                    286                    324                    194                    259                    206                    1207                   146                    308                    192                    192                    142                    278                    143                    333                    385                    197                    191                    155                    195                    199                    141                    206                    222                    144                    187                    194                    150                    297                    152                    433                    170                    354                    166                    371                    160                    142                    1393                   212                    218                    159                    214                    665                    188                    224                    211                    172                    162                    157                    219                   385                   163                   165                   190                   182                   182                   164                   154                   163                   163                   185                 
# N's per 100 kbp           0.00                 0.00                 0.00                 0.00                 0.00                 0.00                 0.00                 0.00                 0.00                 0.00                 0.00                 0.00                 0.00                 0.00                 0.00                 0.00                 0.00                 0.00                 0.00                 0.00                 0.00                 0.00                 0.00                 0.00                       0.00                 0.00                 0.00                 0.00                 0.00                 0.00                 0.00                 0.00                 0.00          0.00          0.00          0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                   0.00                  0.00                  0.00                  0.00                  0.00                  0.00                  0.00                  0.00                  0.00                  0.00                  0.00                  0.00                
